card_id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability,action,cost_dust,mechanic
AT_002,MAGE,SPELL,Effigy,TGT,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.",3.0,,,RARE,1.0,"Burning man, brah.",,,,,,,CRAFTING_NORMAL,100,SECRET
AT_002,MAGE,SPELL,Effigy,TGT,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.",3.0,,,RARE,1.0,"Burning man, brah.",,,,,,,CRAFTING_GOLDEN,800,SECRET
AT_002,MAGE,SPELL,Effigy,TGT,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.",3.0,,,RARE,1.0,"Burning man, brah.",,,,,,,DISENCHANT_NORMAL,20,SECRET
AT_002,MAGE,SPELL,Effigy,TGT,"<b>Secret:</b> When a friendly minion dies, summon a random minion with the same Cost.",3.0,,,RARE,1.0,"Burning man, brah.",,,,,,,DISENCHANT_GOLDEN,100,SECRET
AT_006,MAGE,MINION,Dalaran Aspirant,TGT,<b>Inspire:</b> Gain <b>Spell Damage +1</b>.,4.0,3.0,5.0,COMMON,1.0,Is he aspiring or inspiring?  Make up your mind!,,,,,,,CRAFTING_NORMAL,40,INSPIRE
AT_006,MAGE,MINION,Dalaran Aspirant,TGT,<b>Inspire:</b> Gain <b>Spell Damage +1</b>.,4.0,3.0,5.0,COMMON,1.0,Is he aspiring or inspiring?  Make up your mind!,,,,,,,CRAFTING_GOLDEN,400,INSPIRE
AT_006,MAGE,MINION,Dalaran Aspirant,TGT,<b>Inspire:</b> Gain <b>Spell Damage +1</b>.,4.0,3.0,5.0,COMMON,1.0,Is he aspiring or inspiring?  Make up your mind!,,,,,,,DISENCHANT_NORMAL,5,INSPIRE
AT_006,MAGE,MINION,Dalaran Aspirant,TGT,<b>Inspire:</b> Gain <b>Spell Damage +1</b>.,4.0,3.0,5.0,COMMON,1.0,Is he aspiring or inspiring?  Make up your mind!,,,,,,,DISENCHANT_GOLDEN,50,INSPIRE
AT_007,MAGE,MINION,Spellslinger,TGT,<b>Battlecry:</b> Add a random spell to each player's hand.,3.0,3.0,4.0,COMMON,1.0,"Does he sling spells, or do his spells linger about.  Who can say?",,,,,,,CRAFTING_NORMAL,40,BATTLECRY
AT_007,MAGE,MINION,Spellslinger,TGT,<b>Battlecry:</b> Add a random spell to each player's hand.,3.0,3.0,4.0,COMMON,1.0,"Does he sling spells, or do his spells linger about.  Who can say?",,,,,,,CRAFTING_GOLDEN,400,BATTLECRY
AT_007,MAGE,MINION,Spellslinger,TGT,<b>Battlecry:</b> Add a random spell to each player's hand.,3.0,3.0,4.0,COMMON,1.0,"Does he sling spells, or do his spells linger about.  Who can say?",,,,,,,DISENCHANT_NORMAL,5,BATTLECRY
AT_007,MAGE,MINION,Spellslinger,TGT,<b>Battlecry:</b> Add a random spell to each player's hand.,3.0,3.0,4.0,COMMON,1.0,"Does he sling spells, or do his spells linger about.  Who can say?",,,,,,,DISENCHANT_GOLDEN,50,BATTLECRY
AT_009,MAGE,MINION,Rhonin,TGT,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,8.0,7.0,7.0,LEGENDARY,1.0,A masterless shamurai.,,,,,,,CRAFTING_NORMAL,1600,DEATHRATTLE
AT_009,MAGE,MINION,Rhonin,TGT,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,8.0,7.0,7.0,LEGENDARY,1.0,A masterless shamurai.,,,,,,,CRAFTING_GOLDEN,3200,DEATHRATTLE
AT_009,MAGE,MINION,Rhonin,TGT,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,8.0,7.0,7.0,LEGENDARY,1.0,A masterless shamurai.,,,,,,,DISENCHANT_NORMAL,400,DEATHRATTLE
AT_009,MAGE,MINION,Rhonin,TGT,<b>Deathrattle:</b> Add 3 copies of Arcane Missiles to your hand.,8.0,7.0,7.0,LEGENDARY,1.0,A masterless shamurai.,,,,,,,DISENCHANT_GOLDEN,1600,DEATHRATTLE
AT_010,HUNTER,MINION,Ram Wrangler,TGT,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",5.0,3.0,3.0,RARE,1.0,Not getting trampled is really the trick here.,,,,,,,CRAFTING_NORMAL,100,BATTLECRY
AT_010,HUNTER,MINION,Ram Wrangler,TGT,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",5.0,3.0,3.0,RARE,1.0,Not getting trampled is really the trick here.,,,,,,,CRAFTING_GOLDEN,800,BATTLECRY
AT_010,HUNTER,MINION,Ram Wrangler,TGT,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",5.0,3.0,3.0,RARE,1.0,Not getting trampled is really the trick here.,,,,,,,DISENCHANT_NORMAL,20,BATTLECRY
AT_010,HUNTER,MINION,Ram Wrangler,TGT,"<b>Battlecry:</b> If you have a Beast, summon a
random Beast.",5.0,3.0,3.0,RARE,1.0,Not getting trampled is really the trick here.,,,,,,,DISENCHANT_GOLDEN,100,BATTLECRY
AT_012,PRIEST,MINION,Spawn of Shadows,TGT,<b>Inspire:</b> Deal 4 damage to each hero.,4.0,5.0,4.0,RARE,1.0,What did you expect to happen?  He's a Spawn.  Of Shadows.,,,,,,,CRAFTING_NORMAL,100,INSPIRE
AT_012,PRIEST,MINION,Spawn of Shadows,TGT,<b>Inspire:</b> Deal 4 damage to each hero.,4.0,5.0,4.0,RARE,1.0,What did you expect to happen?  He's a Spawn.  Of Shadows.,,,,,,,CRAFTING_GOLDEN,800,INSPIRE
AT_012,PRIEST,MINION,Spawn of Shadows,TGT,<b>Inspire:</b> Deal 4 damage to each hero.,4.0,5.0,4.0,RARE,1.0,What did you expect to happen?  He's a Spawn.  Of Shadows.,,,,,,,DISENCHANT_NORMAL,20,INSPIRE
AT_012,PRIEST,MINION,Spawn of Shadows,TGT,<b>Inspire:</b> Deal 4 damage to each hero.,4.0,5.0,4.0,RARE,1.0,What did you expect to happen?  He's a Spawn.  Of Shadows.,,,,,,,DISENCHANT_GOLDEN,100,INSPIRE
AT_017,NEUTRAL,MINION,Twilight Guardian,TGT,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",4.0,2.0,6.0,EPIC,1.0,"A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.",DRAGON,,,,,,CRAFTING_NORMAL,400,BATTLECRY
AT_017,NEUTRAL,MINION,Twilight Guardian,TGT,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",4.0,2.0,6.0,EPIC,1.0,"A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.",DRAGON,,,,,,CRAFTING_GOLDEN,1600,BATTLECRY
AT_017,NEUTRAL,MINION,Twilight Guardian,TGT,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",4.0,2.0,6.0,EPIC,1.0,"A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.",DRAGON,,,,,,DISENCHANT_NORMAL,100,BATTLECRY
AT_017,NEUTRAL,MINION,Twilight Guardian,TGT,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",4.0,2.0,6.0,EPIC,1.0,"A result of magical experiments carried out by the Black Dragonflight, it's not his fault that he's a vicious killer.",DRAGON,,,,,,DISENCHANT_GOLDEN,400,BATTLECRY
AT_018,PRIEST,MINION,Confessor Paletress,TGT,<b>Inspire:</b> Summon a random <b>Legendary</b> minion.,7.0,5.0,4.0,LEGENDARY,1.0,She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.,,,,,,,CRAFTING_NORMAL,1600,INSPIRE
AT_018,PRIEST,MINION,Confessor Paletress,TGT,<b>Inspire:</b> Summon a random <b>Legendary</b> minion.,7.0,5.0,4.0,LEGENDARY,1.0,She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.,,,,,,,CRAFTING_GOLDEN,3200,INSPIRE
AT_018,PRIEST,MINION,Confessor Paletress,TGT,<b>Inspire:</b> Summon a random <b>Legendary</b> minion.,7.0,5.0,4.0,LEGENDARY,1.0,She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.,,,,,,,DISENCHANT_NORMAL,400,INSPIRE
AT_018,PRIEST,MINION,Confessor Paletress,TGT,<b>Inspire:</b> Summon a random <b>Legendary</b> minion.,7.0,5.0,4.0,LEGENDARY,1.0,She sees into your past and makes you face your fears.  Most common fear:  Getting Majordomo out of Sneed's Old Shredder.,,,,,,,DISENCHANT_GOLDEN,1600,INSPIRE
AT_019,WARLOCK,MINION,Dreadsteed,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,4.0,1.0,1.0,EPIC,1.0,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",DEMON,,,,,,CRAFTING_NORMAL,400,DEATHRATTLE
AT_019,WARLOCK,MINION,Dreadsteed,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,4.0,1.0,1.0,EPIC,1.0,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",DEMON,,,,,,CRAFTING_GOLDEN,1600,DEATHRATTLE
AT_019,WARLOCK,MINION,Dreadsteed,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,4.0,1.0,1.0,EPIC,1.0,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",DEMON,,,,,,DISENCHANT_NORMAL,100,DEATHRATTLE
AT_019,WARLOCK,MINION,Dreadsteed,TGT,<b>Deathrattle:</b> Summon a Dreadsteed.,4.0,1.0,1.0,EPIC,1.0,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",DEMON,,,,,,DISENCHANT_GOLDEN,400,DEATHRATTLE
AT_022,WARLOCK,SPELL,Fist of Jaraxxus,TGT,"When you play or discard this, deal $4 damage to a random enemy.",4.0,,,RARE,1.0,* Not actually Jaraxxus' fist.,,,,,,,CRAFTING_NORMAL,100,InvisibleDeathrattle
AT_022,WARLOCK,SPELL,Fist of Jaraxxus,TGT,"When you play or discard this, deal $4 damage to a random enemy.",4.0,,,RARE,1.0,* Not actually Jaraxxus' fist.,,,,,,,CRAFTING_GOLDEN,800,InvisibleDeathrattle
AT_022,WARLOCK,SPELL,Fist of Jaraxxus,TGT,"When you play or discard this, deal $4 damage to a random enemy.",4.0,,,RARE,1.0,* Not actually Jaraxxus' fist.,,,,,,,DISENCHANT_NORMAL,20,InvisibleDeathrattle
AT_022,WARLOCK,SPELL,Fist of Jaraxxus,TGT,"When you play or discard this, deal $4 damage to a random enemy.",4.0,,,RARE,1.0,* Not actually Jaraxxus' fist.,,,,,,,DISENCHANT_GOLDEN,100,InvisibleDeathrattle
AT_023,WARLOCK,MINION,Void Crusher,TGT,<b>Inspire:</b> Destroy a random minion for each player.,6.0,5.0,4.0,RARE,1.0,"We like to call him ""Wesley"".",DEMON,,,,,,CRAFTING_NORMAL,100,INSPIRE
AT_023,WARLOCK,MINION,Void Crusher,TGT,<b>Inspire:</b> Destroy a random minion for each player.,6.0,5.0,4.0,RARE,1.0,"We like to call him ""Wesley"".",DEMON,,,,,,CRAFTING_GOLDEN,800,INSPIRE
AT_023,WARLOCK,MINION,Void Crusher,TGT,<b>Inspire:</b> Destroy a random minion for each player.,6.0,5.0,4.0,RARE,1.0,"We like to call him ""Wesley"".",DEMON,,,,,,DISENCHANT_NORMAL,20,INSPIRE
AT_023,WARLOCK,MINION,Void Crusher,TGT,<b>Inspire:</b> Destroy a random minion for each player.,6.0,5.0,4.0,RARE,1.0,"We like to call him ""Wesley"".",DEMON,,,,,,DISENCHANT_GOLDEN,100,INSPIRE
AT_028,ROGUE,MINION,Shado-Pan Rider,TGT,<b>Combo:</b> Gain +3 Attack.,5.0,3.0,7.0,COMMON,1.0,"He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.",,,,,,,CRAFTING_NORMAL,40,COMBO
AT_028,ROGUE,MINION,Shado-Pan Rider,TGT,<b>Combo:</b> Gain +3 Attack.,5.0,3.0,7.0,COMMON,1.0,"He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.",,,,,,,CRAFTING_GOLDEN,400,COMBO
